2025-11-05 23:45:57,593 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.35737202427678505, 'Sharpe': 3.3177203412602645, 'MaxDrawdown': -0.0810099397698536, 'Calmar': 4.4114589554327095}
2025-11-05 23:47:50,519 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.35737229513068014, 'Sharpe': 3.3177237352533835, 'MaxDrawdown': -0.08101005877182721, 'Calmar': 4.411455818557721}
2025-11-05 23:48:22,320 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.3573727032014884, 'Sharpe': 3.317726595860623, 'MaxDrawdown': -0.08101027528301985, 'Calmar': 4.411449065602613}
2025-11-05 23:48:48,315 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['META', 'AAPL', 'AMZN', 'NFLX', 'GOOG'] | Metrics: {'CAGR': 0.3737241359583947, 'Sharpe': 2.941805498844743, 'MaxDrawdown': -0.0997679376293108, 'Calmar': 3.7459342634401454}
2025-11-05 23:49:03,711 [INFO] Backtest completed | Period: 2015-01-01 → 2019-12-31 | Universe: ['META', 'AAPL', 'AMZN', 'NFLX', 'GOOG'] | Metrics: {'CAGR': 0.2564374504558167, 'Sharpe': 2.3909030675330967, 'MaxDrawdown': -0.09976809699892486, 'Calmar': 2.570335188999146}
2025-11-05 23:49:27,841 [INFO] Backtest completed | Period: 2015-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.3101096309804212, 'Sharpe': 3.019187904920775, 'MaxDrawdown': -0.08101023323738077, 'Calmar': 3.8280303436693046}
2025-11-05 23:50:02,281 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.35737268633553776, 'Sharpe': 3.3177259215528303, 'MaxDrawdown': -0.08101007860179799, 'Calmar': 4.411459567792668}
2025-11-05 23:52:42,472 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.3573721368589604, 'Sharpe': 3.3177208405372105, 'MaxDrawdown': -0.0810100040519044, 'Calmar': 4.411456844638428}
2025-11-05 23:55:31,198 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.35737308830669634, 'Sharpe': 3.3177283791911214, 'MaxDrawdown': -0.08100995789423171, 'Calmar': 4.411471103012917}
2025-11-07 23:12:08,571 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.3573720998269463, 'Sharpe': 3.317720836805092, 'MaxDrawdown': -0.08101010475415515, 'Calmar': 4.411450903704899}
2025-11-07 23:19:24,653 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.3573726518093079, 'Sharpe': np.float64(3.3177254358748303), 'MaxDrawdown': -0.08101005315210064, 'Calmar': 4.411460527477027}
2025-11-07 23:23:07,612 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.35737257705267256, 'Sharpe': np.float64(3.317724593112844), 'MaxDrawdown': -0.08100985824431406, 'Calmar': 4.411470218536716}
2025-11-07 23:23:27,483 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.35737257705267256, 'Sharpe': np.float64(3.317724593112844), 'MaxDrawdown': -0.08100985824431406, 'Calmar': 4.411470218536716}
2025-11-07 23:27:46,928 [INFO] Backtest completed | Period: 2010-01-01 → 2019-12-31 | Universe: ['NVDA', 'MSFT', 'AAPL', 'AMZN', 'META', 'AVGO', 'GOOGL', 'TSLA', 'GOOG', 'BRK-B'] | Metrics: {'CAGR': 0.2637209112548309, 'Sharpe': np.float64(2.6325965311657096), 'MaxDrawdown': -0.08101004372123644, 'Calmar': 3.255410059551635}
