Date,pos_META,pos_AAPL,pos_AMZN,pos_NFLX,pos_GOOG,ret_META,ret_AAPL,ret_AMZN,ret_NFLX,ret_GOOG
2015-07-10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-07-13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-07-14,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0
2015-07-15,0,0,0,0,0,0.0,0.0,-0.0,-0.0,-0.0
2015-07-16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-07-17,1,1,1,1,1,0.0,0.0,0.0,-0.0,0.0
2015-07-20,1,1,1,1,1,0.030957089686000527,0.018901367237923905,0.01053813998417441,-0.03676913579106156,-0.01472669991446618
2015-07-21,1,1,1,1,1,0.004902376242793771,-0.00999477550520822,-0.0002049198104703276,0.017729525376449118,-0.0010857036201744608
2015-07-22,1,1,1,1,1,-0.01372090336087739,-0.04229460090720527,0.0005532874522176101,-0.008976998640596645,-0.00030213764996989134
2015-07-23,1,1,1,1,1,-0.016487945539761073,-0.0004789933011067893,-0.01247263120517228,-0.012556067496671819,-0.026914446463300434
2015-07-24,1,0,1,1,0,0.01582137088734248,-0.005273222417029766,0.09797177370770194,-0.006902835120466522,-0.03215983623830743
2015-07-27,1,0,1,0,0,-0.028674526737723194,-0.0,0.003758783055256787,-0.02661419544703625,0.0
2015-07-28,1,0,1,0,0,0.011893449521802602,0.0,-0.010123976048688199,0.0,0.0
2015-07-29,1,0,1,0,0,0.017840100401769865,-0.0,0.005646082569271016,0.0,0.0
2015-07-30,1,0,1,0,0,-0.018352275488409675,-0.0,0.014669133071491647,0.0,0.0
2015-07-31,0,0,1,0,0,-0.012603660190898869,-0.0,-0.0011363926292679016,0.0,-0.0
2015-08-03,0,0,1,0,0,0.0,-0.0,-0.0020890296168917244,-0.0,0.0
2015-08-04,0,0,1,0,0,-0.0,-0.0,-0.0058501342912083976,0.0,-0.0
2015-08-05,0,0,1,0,0,0.0,0.0,0.00960709908079349,0.0,0.0
2015-08-06,0,0,1,0,0,-0.0,0.0,-0.014059348338240185,0.0,-0.0
2015-08-07,0,0,0,0,0,-0.0,0.0,-0.01291878742396324,-0.0,-0.0
2015-08-10,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0
2015-08-11,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0
2015-08-12,0,0,0,0,0,0.0,0.0,-0.0,-0.0,-0.0
2015-08-13,0,0,0,0,0,-0.0,-0.0,0.0,0.0,-0.0
